Year,FERU,NRU,NRUST,NAIRU
2008.25,0.0379015459411301,0.0489596056960277,0.04960114109,0.053191
2008.5,0.0381594109812189,0.0488847075961782,0.04990479336,0.054551
2008.75,0.0381340794605541,0.0488162329538316,0.05104601542,0.054757
2009,0.0395270080006216,0.0487526190128941,0.05212292418,0.056728
2009.25,0.0384564265687891,0.0486919226537464,0.05283114938,0.057588
2009.5,0.0383763472478346,0.0486320597993087,0.05395247122,0.056544
2009.75,0.0399309311576554,0.0485710694439785,0.05503899202,0.056747
2010,0.0414856945493601,0.0485072828262773,0.05648051059,0.056008
2010.25,0.042872053407676,0.04843936590711,0.05690288816,0.054937
2010.5,0.0426717487689814,0.0483663089744185,0.05726967342,0.054239
2010.75,0.0439077199909897,0.0482874286293691,0.05770941881,0.054639
2011,0.0429436796103137,0.0482024400659927,0.05804344038,0.052538
2011.25,0.043705238301283,0.0481115812350382,0.05822588923,0.052895
2011.5,0.045066776437158,0.0480156981301701,0.05830605261,0.05241
2011.75,0.0452476044918566,0.0479162211817101,0.05847203348,0.050659
2012,0.0448648101177296,0.0478149952925364,0.05815009226,0.049131
2012.25,0.0452670788729473,0.0477139952108889,0.05781262444,0.048935
2012.5,0.0444915775215683,0.0476150271487766,0.05712411406,0.047823
2012.75,0.0439156157197448,0.0475194885656001,0.05656054951,0.046401
2013,0.0444297521774184,0.0474282485746863,0.05516896662,0.046317
2013.25,0.0443938664297787,0.0473416721838546,0.05370586944,0.045469
2013.5,0.043332372121377,0.0472597325194964,0.05265987002,0.044026
2013.75,0.0431124527850594,0.0471821229323513,0.05150994354,0.04298
2014,0.0424517950612452,0.047108351624268,0.05045110253,0.041974
2014.25,0.0426598384408786,0.0470378083099091,0.04956619687,0.04068
2014.5,0.0443470304878991,0.0469697983780577,0.04887757383,0.040724
2014.75,0.0423557939807259,0.0469035627796799,0.04838887231,0.038922
2015,0.0433060613880128,0.0468383153863419,0.04810394419,0.038942
2015.25,0.0434208057610605,0.0467732846553127,0.04782686752,0.038024
2015.5,0.0426177174362093,0.0467077459414635,0.04756195061,0.036745
2015.75,0.0425083188430801,0.0466410735408719,0.04731372,0.036819
2016,0.0425935004933569,0.0465728006338082,0.04708691,0.037191
2016.25,0.0428009067955259,0.0465026676316746,0.04688638,0.037084
2016.5,0.0421898873300728,0.0464306579554979,0.04671323,0.037701
2016.75,0.0416563712289804,0.0463569751170409,0.04656598,0.037168
2017,0.0408246393067762,0.0462819246460714,0.04644163,0.037772
2017.25,0.040134118762566,0.0462057402347943,0.0463363,0.036887
2017.5,0.0411246312544678,0.0461283898859797,0.04624581,0.037729
2017.75,0.0405504807060972,0.0460494037050475,0.04616598,0.037057
